predicted=24014.024229, expected=22475.000000
predicted=21637.538210, expected=24185.000000
predicted=27597.221843, expected=25256.000000
predicted=26279.860589, expected=27882.000000
predicted=28436.143238, expected=27157.000000
predicted=25900.964392, expected=25740.000000
predicted=24815.502634, expected=19778.000000
predicted=18067.113005, expected=18878.000000
predicted=19502.850585, expected=21952.000000
predicted=24433.319456, expected=21195.000000
predicted=22486.909859, expected=27617.000000
predicted=27536.271162, expected=25300.000000
predicted=24214.870403, expected=25101.000000
predicted=24137.689803, expected=19004.000000
predicted=16989.077150, expected=21708.000000
predicted=22580.686867, expected=20498.000000
predicted=22728.619994, expected=23612.000000
predicted=24091.695488, expected=25537.000000
predicted=25406.200045, expected=24137.000000
predicted=23635.051858, expected=21827.000000
predicted=20042.337246, expected=20789.000000
predicted=20721.449888, expected=18970.000000
predicted=20000.912470, expected=18848.000000
predicted=19549.435132, expected=18366.000000
predicted=19092.517996, expected=22836.000000
predicted=23520.985731, expected=24488.000000
predicted=25119.478178, expected=24246.000000
predicted=22900.590240, expected=20129.000000
predicted=18139.097038, expected=17354.000000
predicted=16672.152343, expected=20891.000000
predicted=22645.419292, expected=19881.000000
predicted=22043.574124, expected=21295.000000
predicted=20573.876842, expected=25311.000000
predicted=24931.971766, expected=22684.000000
predicted=22603.245044, expected=17771.000000
predicted=15969.667309, expected=17472.000000
predicted=17271.161090, expected=18087.000000
predicted=20169.897289, expected=20834.000000
predicted=22369.094256, expected=22888.000000
predicted=22956.001540, expected=25396.000000
predicted=24428.525989, expected=25540.000000
predicted=24119.247416, expected=19791.000000
predicted=18067.644339, expected=19709.000000
predicted=19038.483007, expected=23705.000000
predicted=25457.464458, expected=25559.000000
predicted=26849.225560, expected=27762.000000
predicted=26791.907430, expected=31527.000000
predicted=29950.392939, expected=32718.000000
predicted=31170.554466, expected=26358.000000
predicted=24102.121603, expected=30647.000000
predicted=29568.567748, expected=35189.000000
predicted=35842.253983, expected=34836.000000
predicted=34481.354268, expected=39972.000000
predicted=38490.060004, expected=45255.000000
Test MSE: 9640202.636
